ID	RemainFood	TaxRate	ArmyRate	King	CountyNum	WifeNum	MinisterNum	SecretAgentNum
ID	RemainFood	TaxRate	ArmyRate	King	CountyNum	WifeNum	MinisterNum	SecretAgentNum
1001	10000	20	5	1001;1002	6	1	16	3
1002	10000	20	5	1001;1002	13	1	16	3
1003	10000	20	5	1001;1002	13	1	16	3
1004	10000	20	5	1001;1002	13	1	16	3
1005	10000	20	5	1001;1002	13	1	16	3
1006	10000	20	5	1001;1002	13	1	16	3
1007	10000	20	5	1001;1002	13	1	16	3
1008	10000	20	5	1001;1002	13	1	16	3
1009	10000	20	5	1001;1002	13	1	16	3
1010	10000	20	5	1001;1002	13	1	16	3
1011	10000	20	5	1001;1002	13	1	16	3
1012	10000	20	5	1001;1002	13	1	16	3
1013	10000	20	5	1001;1002	13	1	16	3
1014	10000	20	5	1001;1002	13	1	16	3
1015	10000	20	5	1001;1002	13	1	16	3
1016	10000	20	5	1001;1002	13	1	16	3
1017	10000	20	5	1001;1002	13	1	16	3
1018	10000	20	5	1001;1002	13	1	16	3
1019	10000	20	5	1001;1002	13	1	16	3
1020	10000	20	5	1001;1002	13	1	16	3
1021	10000	20	5	1001;1002	13	1	16	3
1022	10000	20	5	1001;1002	13	1	16	3
1023	10000	20	5	1001;1002	13	1	16	3
1024	10000	20	5	1001;1002	13	1	16	3
1025	10000	20	5	1001;1002	13	1	16	3
1026	10000	20	5	1001;1002	13	1	16	3
1027	10000	20	5	1001;1002	13	1	16	3
1028	10000	20	5	1001;1002	13	1	16	3
1029	10000	20	5	1001;1002	13	1	16	3
1030	10000	20	5	1001;1002	13	1	16	3
1031	10000	20	5	1001;1002	13	1	16	3
1032	10000	20	5	1001;1002	13	1	16	3
