ID	Target	ResultType	ValueSource	DurationTime	ParamList	WeightList
ID	Target	ResultType	ValueSource	DurationTime	ParamList	WeightList
1000	SelectActor	Food	Fixed	0	100	100
1001	SelectActor	Food	Fixed	0	100	100
1002	SelectActor	Food	Fixed	0	100	100
1003	SelectActor	Food	Fixed	0	100	100
1004	SelectActor	Food	Fixed	0	100	100
1005	SelectActor	Food	Fixed	0	100	100
1006	SelectActor	Food	Fixed	0	100	100
1007	SelectActor	Food	Fixed	0	100	100
1008	SelectActor	Food	Fixed	0	100	100
1009	SelectActor	Food	Fixed	0	100	100
1010	SelectActor	Food	Fixed	0	100	100
1011	SelectActor	Food	Fixed	0	100	100
1012	SelectActor	Food	Fixed	0	100	100
1013	SelectActor	Food	Fixed	0	100	100
1014	SelectActor	Food	Fixed	0	100	100
1015	SelectActor	Food	Fixed	0	100	100
1016	SelectActor	Food	Fixed	0	100	100
1017	SelectActor	Food	Fixed	0	100	100
