行为	类型	执行人	目标列表	需要时间	需要钱粮	需要威望	效果ID
Action	ActionType	ExecutorList	TargetList	NeedTime	NeedFood	NeedCachet	EffectIDList
Read	DailyAction	King	Country	1	0	0	
Harem	DailyAction	King	Wife	1	0	0	
Travel	DailyAction	King	County	7	100	0	
ExtraChooseWife	DailyAction	King	Country	1	1000	0	
ExtraChooseMinister	DailyAction	King	Country	1	1000	0	
AddMinister	DailyAction	King	Minister	0	0	100	
ReduceMinister	DailyAction	King	Minister	0	0	100	
Gift	DailyAction	King	Minister;Wife	0	100	0	
AddWife	DailyAction	King	Wife	0	0	100	
ReduceWife	DailyAction	King	Wife	0	0	100	
Meeting	DailyAction	King	Gov	1	0	100	
FixedMeeting	FixedAction	King	Gov	1	0	0	
ChooseWife	FixedAction	King	Country	1	0	0	
ChooseMinister	FixedAction	King	Country	1	0	0	
OutlanderAttack	FixedAction	TriggerActor	TriggerActor	0	0	0	
KingBirthDay	FixedAction	TriggerActor	TriggerActor	1	0	0	
OtherBirthDay	FixedAction	TriggerActor	TriggerActor	1	0	0	
PeasantUprising	TriggerAction	TriggerActor	TriggerActor	0	0	0	
GeneralsRebel	TriggerAction	TriggerActor	TriggerActor	0	0	0	
IntroduceMinister	TriggerAction	TriggerActor	TriggerActor	0	0	0	
QuitMinister	TriggerAction	TriggerActor	TriggerActor	0	0	0	
MinisterMurder	TriggerAction	TriggerActor	TriggerActor	0	0	0	
DelateMinister	TriggerAction	TriggerActor	TriggerActor	0	0	0	
FindGoodOmen	TriggerAction	TriggerActor	TriggerActor	15	0	0	
FindBadOmen	TriggerAction	TriggerActor	TriggerActor	15	0	0	
ResearchArea	SecretAction	SecretAgent	County	7	0	0	
ResearchMinister	SecretAction	SecretAgent	Minister	7	0	0	
Murder	SecretAction	SecretAgent	Minister;Wife	15	0	0	
Seduce	SecretAction	King	Minister;Wife	3	100	0	
RobFood	SecretAction	SecretAgent	County	15	0	0	
ForgeGoodOmen	SecretAction	SecretAgent	Country	15	0	0	
ForgeRumor	SecretAction	SecretAgent	Minister;Wife	15	0	0	
CountryTaxRate	PolicyAction	King	Country	0	0	0	
CountryArmyRate	PolicyAction	King	Country	0	0	0	
CombatCorruption	PolicyAction	King	Country	0	0	0	
LifeStyle	PolicyAction	King	Country	0	0	0	
CountyTaxRate	PolicyAction	King	County	0	0	0	
CountyArmyRate	PolicyAction	King	County	0	0	0	
TryAddFood	PolicyAction	King	Country	0	0	0	
SelfRecommendation	PolicyAction	King	Country	0	0	0	
BuildCounty	PolicyAction	King	County	0	0	0	
